episode,V,C
0,1.0,1.0
1,1.0,2.0
2,1.0,3.0
3,1.0,4.0
4,1.0,5.0
5,1.0,6.0
6,1.0,7.0
7,1.0,8.0
8,1.0,9.0
9,1.0,10.0
10,1.4444444444444444,1.0
11,1.4444444444444444,2.0
12,1.4444444444444444,3.0
13,1.4444444444444444,4.0
14,1.4444444444444444,5.0
15,1.4444444444444444,6.0
16,1.4444444444444444,7.0
17,1.4444444444444444,8.0
episode,V,C
0,1.0,1.0
1,1.0,2.0
2,1.0,3.0
3,1.0,4.0
4,1.0,5.0
5,1.0,6.0
6,1.0,7.0
7,1.0,8.0
8,1.0,9.0
9,1.0,10.0
10,1.4444444444444444,1.0
11,1.4444444444444444,2.0
episode,V,C
0,1.0,1.0
1,1.0,2.0
2,1.0,3.0
3,1.0,4.0
4,1.0,5.0
5,1.0,6.0
6,1.0,7.0
7,1.0,8.0
8,1.0,9.0
9,1.0,10.0
10,1.4444444444444444,1.0
11,1.4444444444444444,2.0
12,1.4444444444444444,3.0
13,1.4444444444444444,4.0
14,1.4444444444444444,5.0
15,1.4444444444444444,6.0
16,1.4444444444444444,7.0
17,1.4444444444444444,8.0
18,1.4444444444444444,9.0
19,1.4444444444444444,10.0
20,1.8888888888888888,1.0
21,1.8888888888888888,2.0
22,1.8888888888888888,3.0
23,1.8888888888888888,4.0
24,1.8888888888888888,5.0
25,1.8888888888888888,6.0
26,1.8888888888888888,7.0
27,1.8888888888888888,8.0
28,1.8888888888888888,9.0
29,1.8888888888888888,10.0
30,2.333333333333333,1.0
31,2.333333333333333,2.0
32,2.333333333333333,3.0
33,2.333333333333333,4.0
34,2.333333333333333,5.0
35,2.333333333333333,6.0
36,2.333333333333333,7.0
37,2.333333333333333,8.0
38,2.333333333333333,9.0
39,2.333333333333333,10.0
40,2.7777777777777777,1.0
41,2.7777777777777777,2.0
42,2.7777777777777777,3.0
43,2.7777777777777777,4.0
44,2.7777777777777777,5.0
45,2.7777777777777777,6.0
46,2.7777777777777777,7.0
47,2.7777777777777777,8.0
48,2.7777777777777777,9.0
49,2.7777777777777777,10.0
50,3.2222222222222223,1.0
51,3.2222222222222223,2.0
52,3.2222222222222223,3.0
53,3.2222222222222223,4.0
54,3.2222222222222223,5.0
55,3.2222222222222223,6.0
56,3.2222222222222223,7.0
57,3.2222222222222223,8.0
58,3.2222222222222223,9.0
59,3.2222222222222223,10.0
60,3.6666666666666665,1.0
61,3.6666666666666665,2.0
62,3.6666666666666665,3.0
63,3.6666666666666665,4.0
64,3.6666666666666665,5.0
65,3.6666666666666665,6.0
66,3.6666666666666665,7.0
67,3.6666666666666665,8.0
68,3.6666666666666665,9.0
69,3.6666666666666665,10.0
70,4.111111111111111,1.0
71,4.111111111111111,2.0
72,4.111111111111111,3.0
73,4.111111111111111,4.0
74,4.111111111111111,5.0
75,4.111111111111111,6.0
76,4.111111111111111,7.0
77,4.111111111111111,8.0
78,4.111111111111111,9.0
79,4.111111111111111,10.0
80,4.555555555555555,1.0
81,4.555555555555555,2.0
82,4.555555555555555,3.0
83,4.555555555555555,4.0
84,4.555555555555555,5.0
85,4.555555555555555,6.0
86,4.555555555555555,7.0
87,4.555555555555555,8.0
88,4.555555555555555,9.0
89,4.555555555555555,10.0
90,5.0,1.0
91,5.0,2.0
92,5.0,3.0
93,5.0,4.0
94,5.0,5.0
95,5.0,6.0
96,5.0,7.0
97,5.0,8.0
98,5.0,9.0
99,5.0,10.0
